x,y
16735.6871,2723.1663000000003
16758.1414,2756.2654
16780.8718,2789.1808
16803.6573,2822.0657
16826.656,2854.7973
16850.8152,2886.67
16875.3916,2917.2046
16900.5065,2948.3406
16925.692600000002,2979.4151
16950.9816,3010.3973
16976.4364,3041.2567
17001.8834,3072.1161
17026.8799,3103.3442
17051.2918,3135.033
17076.3672,3166.1997
17101.1017,3196.6115
17126.0426,3227.9014
17150.3442,3259.6511
17174.1637,3291.8004
17197.7149,3324.1335
17220.7296,3356.8341
17243.5625,3389.6885
17266.5929,3422.3893
17289.7731,3454.9985
17312.9454,3487.6076000000003
17335.8578,3520.3693000000003
17358.935,3553.0708000000004
17382.091800000002,3585.6797
17405.1222,3618.3806000000004
17427.8527,3651.2961
17450.535900000003,3684.2421000000004
17473.4322,3717.0349
17503.1967,3742.5477
17539.6535,3752.6833
17578.4404,3752.6314
17612.8939,3772.4902
17628.1216,3809.4577
17643.207300000002,3846.5169
17658.0891,3883.6357
17672.8763,3920.8158000000003
17687.7342,3957.9656
17702.1017,3994.4210000000003
17716.9206,4031.5702
17732.894800000002,4068.2356
17760.2419,4078.3064000000004
17792.7924,4055.977
17822.6143,4029.2965000000004
17852.374,4002.5838000000003
17883.6479,3977.6737000000003
17916.8557,3963.1045000000004
17947.9535,3988.2609
17979.0592,4013.4174000000003
18010.1649,4038.5739000000003
18029.7187,4065.663
18009.3604,4100.0705
17988.1208,4133.8094
17964.0694,4165.79
17940.2814,4197.9306
17916.4392,4230.0391
17892.442,4262.0518
17869.396500000003,4294.734
17853.132,4330.8552
17858.0744,4352.3645
17895.0887,4338.8174
17924.5859,4313.0074
17954.6616,4286.6116
17984.6137,4260.1204
18014.5813,4233.6293000000005
18044.6571,4207.2336
18078.4179,4186.0775
18114.7288,4170.864
18145.4791,4195.1717
18157.3436,4223.9973
18138.3103,4259.2048
18119.2002,4294.317300000001
18100.074,4329.4609
18081.557500000003,4364.5818
18104.1467,4396.9953000000005
18104.5017,4434.2238
18082.9813,4467.9276
18060.6475,4501.1199
18038.4045,4533.4071
18015.3747,4566.0896
17992.1508,4598.6757
17968.9504,4631.262
17945.7964,4663.8803
17922.286500000002,4696.2436
17898.3748,4728.2887
17874.161,4760.1421
17852.2304,4793.5588
17837.8542,4829.8627
17833.3064,4869.5856
17824.5177,4908.6242
17809.447500000002,4945.3872
17791.2677,4981.0129
17772.8831,5015.6356
17752.2117,5051.7578
17734.5201,5092.7035
17715.5085,5137.5375
17690.4023,5180.1299
17661.2519,5220.2591
17634.0981,5261.7602
17607.463,5303.6123
17580.3635,5345.1455000000005
17551.6388,5385.562
17523.014300000003,5426.0736
17494.5907,5466.7444000000005
17466.2062,5507.4157000000005
17438.1932,5548.3422
17411.0081,5589.8428
17385.5902,5632.3683
17363.995300000002,5676.9788
17346.3609,5723.3323
17329.0993,5769.8473
17291.0199,5800.8818
17262.8914,5841.1192
17245.9775,5887.3577000000005
17209.357,5910.724200000001
