x,y,bank
276.66107223615404,207.33804304972122,left
277.38249641656876,208.0,left
277.7803105802295,208.30289254066565,left
278.57593890755106,208.90867762199693,left
279.1153058894128,209.27218031896894,left
279.9541571848543,209.8165409569068,left
280.6719080634592,210.24644937036396,left
281.1069514036533,210.49289874072795,left
281.9770380840414,210.9857974814559,left
282.44833433056306,211.22557250078742,left
282.89455966252945,211.45114500157484,left
283.34078499449583,211.67671750236227,left
283.7870103264622,211.9022900031497,left
284.43438558614605,212.20929796769306,left
285.3425581704483,212.62789390307918,left
286.149867862463,213.0,left
286.6095820367634,213.19662878209277,left
287.06929621106383,213.39325756418555,left
287.52901038536424,213.58988634627832,left
287.98872455966466,213.7865151283711,left
288.4484387339651,213.98314391046387,left
288.9514612018684,214.18725047172768,left
289.8786877347885,214.56175141518307,left
290.8059142677086,214.93625235863846,left
291.42995911835084,215.18068274421123,left
291.89617124383057,215.36136548842245,left
292.82859549478997,215.72273097684493,left
293.54402729310095,216.0,left
294.47967867996556,216.35292560442437,left
294.9475043733979,216.52938840663654,left
295.8831557602625,216.88231401106088,left
296.6638680804689,217.17409617611852,left
297.1325796351173,217.34819235223705,left
297.6012911897657,217.52228852835557,left
298.07000274441407,217.6963847044741,left
298.8874129848555,218.0,left
299.3565009261878,218.17307947104328,left
299.8255888675201,218.3461589420866,left
300.2946768088524,218.51923841312987,left
300.7637647501847,218.69231788417318,left
301.59765896899626,219.0,left
302.5361742376358,219.34523773045598,left
303.00543187195564,219.51785659568395,left
303.9439471405952,219.86309432613993,left
304.7858588578562,220.17130462544495,left
305.2555978548547,220.34260925088992,left
306.19507584885173,220.68521850177981,left
306.6648148458503,220.8565231272248,left
307.5293230593361,221.16759172446228,left
308.0003995010011,221.3351834489246,left
308.94255238433107,221.67036689784916,left
309.41362882599606,221.83795862231148,left
310.34170388732457,222.16324637481517,left
311.28690359343904,222.48973912444555,left
312.23210329955344,222.8162318740759,left
312.7641138229519,223.0,left
313.7114968932191,223.3201020433723,left
314.1851884283527,223.48015306505843,left
315.1325714986199,223.80025510843075,left
315.7237421348691,224.0,left
316.197814487043,224.1589194918955,left
316.6718868392169,224.317838983791,left
317.6200315435646,224.635677967582,left
318.0941038957385,224.7945974594775,left
318.5681762479124,224.95351695137302,left
319.18038960416806,225.16046963961705,left
320.1274893766549,225.48140891885112,left
320.6010392628984,225.64187855846816,left
321.54813903538525,225.96281783770223,left
322.12979697344014,226.16516584979908,left
323.07366188339313,226.49549754939727,left
324.0175267933461,226.82582924899546,left
324.5151891745627,227.0,left
325.4530697202061,227.3469583290594,left
326.3909502658494,227.69391665811875,left
326.85989053867115,227.86739582264843,left
327.68238665354374,228.18617278960213,left
328.6104808134473,228.55851836880635,left
329.5385749733508,228.9308639480106,left
330.1673947399911,229.2039933781593,left
331.0803825858404,229.6119801344779,left
331.9486887641251,230.0,left
332.83862823795346,230.4560786477375,left
333.2835979748677,230.68411797160627,left
333.899973873049,231.0,left
334.32742886058907,231.25938819099403,left
334.7548838481291,231.51877638198803,left
335.54790929332376,232.0,left
335.9489167009908,232.29865207013538,left
336.3499241086579,232.59730414027078,left
336.8906336463988,233.0,left
337.2529155781635,233.3446038332881,left
337.9419334195554,234.0,left
338.55966358160407,234.7863901365705,left
338.97010306045956,235.43717756829014,left
339.2127463661243,235.8743551365803,left
339.4538124823434,236.46972959184905,left
339.62514289570106,236.93945918369812,left
339.7528770992981,237.48871011171678,left
339.86341092176735,238.0,left
339.91208110767536,238.49762557511013,left
339.9612157540396,239.0,left
339.95548378034476,239.99998357210384,left
339.8978983771358,240.4966728623374,left
339.83954155724496,241.0,left
339.7266675383417,241.4870928616359,left
339.6078115776181,242.0,left
339.29490253260303,242.94978309605287,left
339.09727153666717,243.46605529991544,left
338.889806073159,244.0,left
338.5167070155277,244.92779151386216,left
338.3153322253277,245.46936118535947,left
338.14299512056516,245.93872237071898,left
337.98226841889664,246.48051352828574,left
337.83283008262515,247.0,left
337.74769717394514,247.49269908449244,left
337.66004123166203,248.0,left
337.6254347103717,248.99940101495054,left
337.6802075559424,249.49698859428304,left
337.73500114272565,249.99397718856608,left
337.8550548272205,250.48553692807872,left
337.9744444895531,250.97107385615743,left
338.1504990171442,251.47059394566858,left
338.31944083641963,251.94118789133717,left
338.54163045626666,252.45778634995753,left
338.7797902151942,253.0,left
338.99478888632245,253.4514150766347,left
339.25606733188033,254.0,left
339.46790751393155,254.45290588124743,left
339.67974769598277,254.90581176249486,left
339.91501450371743,255.46199363217548,left
340.1376865543425,256.0,left
340.44417598211726,256.95187406239603,left
340.56119148212446,257.48958529313285,left
340.6670302944258,258.0,left
340.7589228442708,258.9957689286592,left
340.76537600289635,259.4999632422855,left
340.7714395970106,260.0,left
340.76812606028477,260.9999945102221,left
340.776252881976,261.499933950111,left
340.78438186924905,262.0,left
340.82952473924655,262.9989805409959,left
340.8643118015253,263.49879160311224,left
340.89922112599015,264.0,left
340.940222299525,264.4983160681423,left
340.9815005790442,265.0,left
341.0595534148822,265.9969492237911,left
341.08800980593065,266.49920313540736,left
341.11622734656527,266.9984062708147,left
341.12567121354317,267.4999124991214,left
341.1350282691419,268.0,left
341.1189364375326,268.49974098586716,left
341.10282792523503,269.0,left
341.0128711087922,269.9959456667788,left
340.93837351013593,270.4944739989875,left
340.86424211108437,270.98894799797495,left
340.7623164427104,271.48984301228637,left
340.65788950398564,272.0,left
340.53710265594714,272.4851912379062,left
340.41631580790863,272.97038247581236,left
340.275533721255,273.4818734962717,left
340.14212482503405,273.9637469925434,left
339.99479254613345,274.48078056822186,left
339.85749707927357,274.9615611364437,left
339.7146193558683,275.48228847550723,left
339.58271853557926,275.96457695101446,left
339.45544988212436,276.4859781375518,left
339.33786905961637,276.97195627510365,left
339.2349487864176,277.4906709957718,left
339.13881360082814,277.9813419915436,left
339.0643678302113,278.49496338255915,left
338.99357764780154,278.9899267651183,left
338.9436552655154,279.49764397413395,left
338.89471450820565,280.0,left
338.85727357806434,280.4985962061129,left
338.8196218186058,281.0,left
